Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Agent Decker,Manual Correia,Web Published,Free,,1,up to 90 minutes,10+,Spies / Espionage,Deck Building,,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Learn the ropes as a rookie spy in your first mission in this solo deckbuilding game!,Learn the ropes as a rookie spy in your first mission in this solo deckbuilding game!,https://gr9yfox.itch.io/agent-decker,,50+ cards,2 tracker cubes,English,2015,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/zR8ukyCYXKAyfXZbuRor.png,2024 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Quests Over Coffee,Alexander Shen,Web Published,Name your price,,1-2,up to 20 minutes,5+,Adventure,Card Play,Dice Rolling,LIGHT,,,Simple Cuts (a few cards or tiles),"A few brief adventures, in the time it takes to drink your coffee.","A few brief adventures, in the time it takes to drink your coffee.",https://alexandershen.itch.io/quests-over-coffee,,18 cards (base set),"6D6, 2 cubes",English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/80TMZer8BPmxZq5OxdJb.png,2024 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Village Builder,Janine Viglietti,Web Published,Free,,1,up to 90 minutes,10+,City Building,Tile Placement,Worker Placement,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Solitaire village building game.,Solitaire village building game.,https://boardgamegeek.com/thread/2470162/wip-village-builder-2020-solitairegame-design-cont,,"40+ tiles, tokens",,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/KGdiTbySvRPqpy4Z6bsk.png,STAFF PICKS,help@pnpfinder.com
Galdor's Grip,Gregg Jewell,Web Published,Name your price,,1,up to 45 minutes,12+,Fantasy,Hand Management,,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),Stop an evil telepath with just your hands in this fantasy card game for one player.,Stop an evil telepath with just your hands in this fantasy card game for one player.,https://greggjewell.itch.io/galdors-grip,,36 cards,,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/vpKSioUWvPuTUP3VzOjn.png,IN-HAND GAMES,help@pnpfinder.com
Poll & Write 2024,Sam Francis,Samphire Games,Paid,£8,1-7,up to 120 minutes,8+,Politics,Area Control / Area Majority / Territory Control,Flip & Write / Roll & Write,MEDIUM,,,Quick Print (no crafting required),The tense electoral strategy game about the 2024 UK general election.,The tense electoral strategy game about the 2024 UK general election.,https://www.kickstarter.com/projects/samphiregames/poll-and-write-2024?ref=9pedx4,,Paper,"Dice, pens",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/D6vjAPhMKt8I4y2nixJm.webp,,help@pnpfinder.com
The Dreadheart,Uoshi,Odd Press,Free,,1,up to 20 minutes,10+,Adventure,Hand Management,Move Through Deck,LIGHT,,,Simple Cuts (a few cards or tiles),A solo game with 18 cards with an In-Hand system.,"The Dreadheart 🌊 is a solo game with 18 cards with an In-Hand system. In this game, you will take command of Black Mamba or Lone Conqueror, pirate and adventurer ships, in search of an old treasure, The Dreadheart.",https://oddpress.itch.io/the-dreadheart,,18 standard cards,,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/FE39Qh87nDQ7Ww2H3DxI.png,IN-HAND GAMES,help@pnpfinder.com
Gunfighter,Derrick Hwang,Everything Epic Games,Free,,2,up to 30 minutes,7+,Western,Action Selection,Bluffing,LIGHT,,,Simple Cuts (a few cards or tiles),A 2-player card game where players use skill cards to simulate a Western showdown.,Gunfighter is a two player non-collectible card game where each player equips skill cards at the beginning of a Western showdown. These skills range from stylish shooting and dodging sequences to taunting or even instilling fear in the opponent.,https://sunseteer.itch.io/gunfighter,,"54 cards, 6 paper clips",6 sided die (optional),English,2018,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/y7FTIsip9VeSQ5LuCxSg.jpg,,help@pnpfinder.com
The Great Food Truck Assembly,Katie Andrews,Next Two You Games,Paid,$2,2,up to 30 minutes,12+,Food,Set Collection,Worker Placement,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),Compete to become the best food truck in the fair.,"Welcome to the 20th Annual Street Food Fair! Every year Food Truck vendors from all across the state arrive ready to sell delicious delights -- but none of them know where to park their vehicles. Several of the Food Trucks have asked for your help in finding the best parking spaces. But beware! There are a lot of Food Trucks to remember, and some are hidden behind other trucks. Even worse, your opponent is trying to find the best spaces for their group of Food Trucks and just might frustrate your plans.",https://www.pnparcade.com/products/the-great-food-truck-assembly?_pos=2&_sid=060a10537&_ss=r,,Cards,"2 Tokens, 2 Meeples Large, 2 Meeples Small",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/L9bQny5Y4z0LafkgtzGD.png,,help@pnpfinder.com
The Cubes of Europe,Ben Huntley,Web Published,Free,,1,up to 20 minutes,10+,Historical,Card Play,Dice Management,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),"Use dice to acquire and place unique cubes, manipulate the game state, and score victory points.","As a European noble with a small amount of land, you have big dreams of becoming a European noble with a significantly larger amount of land. Cleverly use dice to acquire and place unique cubes, manipulate the game state with their special effects, and score as many points as possible by the end of the game. Disclaimer: This game is directly inspired by Stefan Feld’s The Castles of Burgundy. My goal with this project is to instill that large experience into a solo game that is still playable and fun, using only nine cards, some dice, and a ton of cubes.",https://boardgamegeek.com/filepage/278285/the-cubes-of-europe-game-files,,9 double-sided cards,"20 cubes, 2 dice",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/QL9EROGlrJF9YbTpWjIw.png,2025 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Gem Getter Pro,Daniel W. Young,Web Published,Free,,1-100,up to 30 minutes,10+,Mining,Flip & Write / Roll & Write,Polyomino Placement,LIGHT-MEDIUM,,,Quick Print (no crafting required),Rival gem enthusiasts compete to unearth the most valuable collection of gems.,"In Gem Getter Pro, you and your friends compete to dig the most efficient mine and become the gettingest getter of gems! A game is played in 9 rounds. Each round you will... ROLL to determine which polyomino dig patterns are available, DIG your chosen pattern into the mine, and COLLECT heaps of gems with unique scoring conditions. Efficient digging of rows/columns and around boulders will reward you with bonus gems! Oil keeps the digging machines running longer with bonus digs, while natural gas offers flexibility when choosing a future dig pattern. There are 8 unique mines to dig in, and 2 roll sheets to choose from for plenty of variety. A game of Gem Getter plays in around 15-30 minutes, and any number of players can join you as long as you have enough sheets!",https://www.pnparcade.com/products/gem-getter-pro,,Player sheets,dice,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/ytDXvjFPK9Dhvhow2IwJ.png,STAFF PICKS,help@pnpfinder.com
Villagers of the Oak Dell,"Przemyslaw Fornal, Michal Lopato",Two Acorns Games,Paid,6/11 €,1-100,up to 45 minutes,12+,City Building,Flip & Write / Roll & Write,"Rondel, Resource management, completing objectives",MEDIUM,,,Quick Print (no crafting required),A dynamic euro-style roll and write game.,"BGGA Nominee! ‘Villagers of The Oak Dell’ is a dynamic euro-style roll and write game where players embark on the development of a new village. By constructing roads and structures, expanding the population, and mining precious resources, players compete to create the most magnificent settlement. However, be cautious as lurking marauders can strike your village at any unpredictable moment! The game spans four seasons, and strategic risk management and precise timing are key in ‘Villagers of The Oak Dell’. Will you dare to construct the grandest village, risking attacks from invaders? Or will you prioritize safety and defense? The choice is yours!",https://twoacorns.games/shop/,,"1 dice sheet, 1 objective sheet, 1 village sheet per player","dice, something to write",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/gSJQqApVInmwTCNvEDBr.jpg,2023 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Mower Mania,Mark Tuck,Web Published,Free,,1,up to 60 minutes,8+,Other,Dice Management,,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),"A mix of puzzle/strategy, resource management, and luck.","Mower Mania is a mix of puzzle/strategy (working out best routes through the gardens), resource management (your mower functions) and luck (dice for movement and randomness of garden tile layout).",https://boardgamegeek.com/boardgame/217752/mower-mania/files,,6 pages,,English,2016,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/GrqiMxs8lxNdMboyygxd.webp,,help@pnpfinder.com
Habits,Chris de Villiers,Web Published,Free,,1,up to 20 minutes,,Personal Growth,Dice Placement,Card Play,LIGHT,,,Simple Cuts (a few cards or tiles),A 9-card solitaire dice placement game to better your life.,Habits is a captivating 9-card solitaire game that challenges you to cultivate discipline and meaning in your life.,https://boardgamegeek.com/boardgame/422255/habits/files,,9 double-sided cards,2xd6 dice + one cube,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/uSqhhyjQDpVYV3hQVKFB.webp,,help@pnpfinder.com
Zombie in My Pocket,Jeremiah Lee,Web Published,Free,,1,up to 10 minutes,11+,Post-Apocalyptic / Zombie,Tile Placement,,LIGHT,,,Simple Cuts (a few cards or tiles),Save the world or become zombie food!,Save the world or become zombie food! A lot of game in a small package.,https://boardgamegeek.com/filepage/32541/zombie-in-my-pocket-complete-game-package-revised,,Tiles and cards,,English,2007,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/AVMN9aUZnNimgE1wnYd9.jpg,STAFF PICKS,help@pnpfinder.com
Spies,Chris Backe,No Box Games,Paid,$5,2+,up to 30 minutes,8+,Spies / Espionage,Hidden Movement,Deduction,LIGHT,,,Quick Print (no crafting required),Accomplish missions and try to sabotage your Target's missions to score points.,"You are all spies who have infiltrated an ambassador's mansion, each working for different countries. Accomplish missions and try to sabotage your Target's missions to score points. Available in 18 languages: Chinese, Croatian, Czech, Danish, Dutch, English, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Polish, Portuguese, Spanish, and Swedish.",https://noboxgames.com/spies,,2 pages per player,1 pen / marker per player,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/LNg9O01lJoavQ7Z7wVar.avif,,help@pnpfinder.com
Voyages,"Matthew Dunstan, Rory Muldoon",Postmark Games,Paid,£5,1-100,up to 30 minutes,8+,Travel / Exploration,Flip & Write / Roll & Write,Map Making,LIGHT-MEDIUM,,,Quick Print (no crafting required),A roll-and-write game of open sea adventure and exploration.,"Voyages is a roll-and-write game of open sea adventure and exploration. Each player is the captain of a vessel sailing the seas and requires a single printed game sheet and pencil, while one player also needs to provide three dice. On a turn, three dice are rolled for all the players. Each player chooses one die for the direction they are sailing, another for how far they sail, and the final die for crew duties aboard their ship. Players score points for visiting different islands, gathering and selling goods for trade, and training their sailors in case they come across the mysterious Dread...",https://www.postmarkgames.com/voyages,,One A4 or Letter sheet per player,Three dice. One pen of pencil per player,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/5h0zWd192kiyBaCoOZq2.jpeg,2024 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Beards and Booty,Kristian Fosh,No Box Games,Paid,$5,2+,up to 30 minutes,8+,Pirates,Dice Rolling,Take That / Combat,LIGHT,,,Quick Print (no crafting required),"Roll dice to match patterns to attack, heal, and collect treasure.","Many tides ago, the seas shook to the sound of cannon fire, the roar of Captains bellowing orders, and the creaking of unfurled sails. These Captains took to the decks of mighty Sloops, Schooners, Brigantines, and Galleons in their search for freedom, wealth, and glory in a time known as the Golden Age of Piracy! But who amongst these fine figures of fortune was the greatest of them all? To play, roll the dice to match powerful patterns that let you unleash damage upon your rivals, heal your wounds, and collect treasure. Each pirate captain has different sets of lucky numbers to match, along with unique abilities. Spend your gold pieces to activate these special skills to help shift the game's tide in your favor.",https://noboxgames.com/beards-and-booty/,,1 page per player,5 dice,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/hPipVPYaPObQC3cUEBQn.jpg,,help@pnpfinder.com
Around the World in 10-15 Minutes,Chris Backe,No Box Games,Paid,$5,1-6,up to 20 minutes,8+,Travel / Exploration,Action Selection,Set Collection,LIGHT,,,Quick Print (no crafting required),"Travel the world, explore cities, and collect souvenirs!","Travel the world, Explore the cities, and Collect some souvenirs! Phileas Fogg and Jean Passepartout needed 80 days in the classic novel, but you’ll only need 10-15 minutes. Each player takes a sheet and marker / pen, then draws a square around any city on the map. This is your starting city, and ultimately where you’ll be returning to after your round-the-world trip. Each turn, one player is the Navigator (place the piece in front of them) while everyone else is a Follower. They get to choose one action which all players (including themselves) must take. The Navigator may take the selected action once or twice, while Followers take the selected action once. There are three actions to choose from: Travel – draw a line from one city to a connected city. Each route can only be used once, but you may revisit the same city multiple times. Explore – explore the city you’re in. There are 4 types of sights (cultural, historical, food, and greenspace) but only 2 of them are available in each city. As an action, cross off the leftmost empty box of the sight you saw in the lower left corner. Collect a souvenir – cross out a souvenir in the luggage grid. It must be one of the two souvenirs available on that continent. When any player has visited at least one city on each continent and returned to their starting city, the game ends. Everyone gets one final turn to take one final action, then we count up points to see who wins!",https://noboxgames.com/around-the-world/,,1 map sheet per player,1 pen or marker per player,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/yBGsluUm5WEo8Gj3kxBQ.jpg,,help@pnpfinder.com
